roi1,roi2,voxel_idx_1,voxel_idx_2,gsp1000_mf_AvgR,yeo1000_dil_AvgR,diff
medulla,csf,[43 26 13],[62 92 50],0.08365540951490402,0.0442819744348526,0.03937343508005142
medulla,csf,[49 27 10],[46 68 41],-0.01572335511445999,-0.03103364072740078,0.015310285612940788
medulla,csf,[43 22 17],[45 38 53],0.016794273629784584,0.0330142080783844,-0.016219934448599815
medulla,csf,[62 36  6],[75 29 31],0.08988295495510101,0.059450387954711914,0.0304325670003891
medulla,csf,[35 34  8],[12 67 39],0.038751985877752304,0.06299185007810593,-0.024239864200353622
medulla,csf,[29 30  8],[37 27 71],-0.029580816626548767,-0.018488969653844833,-0.011091846972703934
medulla,csf,[41 35  6],[14 68 34],-0.02608906850218773,-0.03129646182060242,0.005207393318414688
medulla,csf,[52 38  4],[28 85 58],0.08730381727218628,0.0026082212571054697,0.08469559601508081
medulla,csf,[40 37  4],[12 69 45],-0.00982007384300232,-0.018729474395513535,0.008909400552511215
medulla,csf,[55 29 17],[41 43 30],-0.008907031267881393,0.004149680491536856,-0.013056711759418249
medulla,csf,[58 30 16],[54 94 24],0.0,0.0,0.0
medulla,csf,[40 40  6],[32 10 37],0.0053513250313699245,0.009860765188932419,-0.004509440157562494
medulla,csf,[52 38  8],[56 56 17],-0.04211851954460144,0.016284046694636345,-0.058402566239237785
medulla,csf,[67 26 13],[33 83 65],0.04926689714193344,0.052773039788007736,-0.003506142646074295
medulla,csf,[47 34  5],[45 87 44],-0.007681835908442736,-0.00814078375697136,0.0004589478485286236
medulla,csf,[42 42 18],[55 49 22],0.16355210542678833,0.1866215467453003,-0.023069441318511963
medulla,csf,[26 44 13],[58 46 10],0.2353161722421646,0.16334302723407745,0.07197314500808716
medulla,csf,[45 40 15],[ 9 56 40],-0.0357818566262722,-0.04669598862528801,0.010914131999015808
medulla,csf,[39 33  8],[70 67 12],0.09297063201665878,0.026014551520347595,0.06695608049631119
medulla,csf,[55 18 19],[27 50 67],-0.02511911652982235,-0.013543391600251198,-0.011575724929571152
medulla,csf,[47 41 12],[75 60 14],0.000906578206922859,0.002465990372002125,-0.0015594121650792658
medulla,csf,[42 42 17],[46 27 35],-0.011088751256465912,-0.01299317181110382,0.001904420554637909
medulla,csf,[36 34  9],[26 78 20],0.0,0.0,0.0
medulla,csf,[38 32 17],[66 46 19],0.06312764436006546,0.012619954533874989,0.05050768982619047
medulla,csf,[41 33  7],[20 69 13],0.07671394944190979,0.04469180107116699,0.0320221483707428
medulla,csf,[36 25 10],[52 40 71],-0.026611771434545517,0.0056221699342131615,-0.03223394136875868
medulla,csf,[31 21 12],[49 90 62],0.12563611567020416,0.044539425522089005,0.08109669014811516
medulla,csf,[43 22 15],[27 59 43],-0.09569606930017471,-0.06370034068822861,-0.031995728611946106
medulla,csf,[41 36  6],[80 57 36],-0.020075658336281776,-0.0169436726719141,-0.0031319856643676758
medulla,csf,[45 26 17],[56 95 49],0.025126777589321136,-0.040144141763448715,0.06527091935276985
medulla,csf,[50 35  6],[71 58 12],0.033554863184690475,0.010211720131337643,0.023343143053352833
medulla,csf,[38 39  5],[27 34 65],-0.04194800555706024,-0.020845765247941017,-0.021102240309119225
medulla,csf,[62 34  7],[14 69 55],0.06851477921009064,0.04303402453660965,0.025480754673480988
medulla,csf,[54 33  6],[30 29  4],0.14789071679115295,0.07495583593845367,0.07293488085269928
medulla,csf,[46 29 15],[34 55 18],0.003198198275640607,0.042230553925037384,-0.03903235564939678
medulla,csf,[34 24 11],[18 35 64],-0.0353647880256176,-0.029427658766508102,-0.005937129259109497
medulla,csf,[25 27  9],[45 26 49],-0.07073716074228287,-0.06339613348245621,-0.00734102725982666
medulla,csf,[60 23 12],[ 8 47 46],-0.022551026195287704,-0.02300906553864479,0.0004580393433570862
medulla,csf,[60 27  9],[80 58 34],-0.07029955834150314,-0.07645542174577713,0.006155863404273987
medulla,csf,[47 32 11],[43 35 74],-0.022566501051187515,-0.019766179844737053,-0.0028003212064504623
medulla,csf,[33 32 15],[56 65 12],0.0005145261529833078,0.024351734668016434,-0.023837208515033126
medulla,csf,[43 43 18],[34 17 56],0.004539967980235815,0.004960952792316675,-0.00042098481208086014
medulla,csf,[44 40  9],[25 77 64],0.017810774967074394,0.020421309396624565,-0.002610534429550171
medulla,csf,[51 36  7],[20 62 37],-0.07563681155443192,0.023190246894955635,-0.09882705844938755
medulla,csf,[42 41 17],[21 24 22],0.048658329993486404,0.04731797054409981,0.0013403594493865967
medulla,csf,[45 42 16],[72 85 36],-0.020007964223623276,-0.019979974254965782,-2.798996865749359e-05
medulla,csf,[36 34 17],[38 23 57],-0.02876349166035652,-0.03009497933089733,0.0013314876705408096
medulla,csf,[51 32  8],[51 21 63],-0.05996866896748543,-0.04352426528930664,-0.016444403678178787
medulla,csf,[36 24 11],[45 32 65],-0.05016127601265907,-0.03282632678747177,-0.0173349492251873
medulla,csf,[27 32  8],[22 20 43],0.025194823741912842,0.03454015776515007,-0.009345334023237228
medulla,csf,[36 34 15],[69 27 11],-0.01014180388301611,0.007533196359872818,-0.017675000242888927
medulla,csf,[36 33 16],[21 18 32],-0.01366716530174017,0.007902409881353378,-0.021569575183093548
medulla,csf,[42 38  3],[49 19 58],-0.032924048602581024,-0.023823464289307594,-0.00910058431327343
medulla,csf,[53 21 12],[33 93 24],0.0,0.0,0.0
medulla,csf,[58 45  9],[15 83 34],-0.030449261888861656,-0.025112921372056007,-0.005336340516805649
medulla,csf,[44 31 14],[ 50 101  38],0.027925562113523483,0.01751597598195076,0.010409586131572723
medulla,csf,[35 35 14],[64 68 69],-0.03043864108622074,-0.00939763244241476,-0.02104100864380598
medulla,csf,[46 28 16],[28 83 24],0.0,0.0,0.0
medulla,csf,[37 34  7],[22 21 19],0.04650363698601723,0.03061133250594139,0.015892304480075836
medulla,csf,[38 23 11],[21 92 35],0.05921870097517967,0.04869654402136803,0.010522156953811646
medulla,csf,[53 27  9],[35 61 12],0.00803269725292921,-0.00472669955343008,0.012759396806359291
medulla,csf,[35 22 12],[32 99 35],0.05679230019450188,0.03129177913069725,0.025500521063804626
medulla,csf,[53 38  9],[61 87 56],0.08866094052791595,0.05821533873677254,0.030445601791143417
medulla,csf,[60 33  7],[27 84 24],0.0,0.0,0.0
medulla,csf,[51 33 17],[23 30 25],-0.019212646409869194,0.0007338088471442461,-0.01994645525701344
medulla,csf,[46 41  3],[65 72 25],0.02284351736307144,0.004495925270020962,0.01834759209305048
medulla,csf,[32 30  6],[63 93 47],0.12511596083641052,0.07953134179115295,0.04558461904525757
medulla,csf,[36 43  9],[67 27 26],0.02911585569381714,0.009572002105414867,0.01954385358840227
medulla,csf,[41 32 10],[62 43 34],0.03206491842865944,0.012748509645462036,0.019316408783197403
medulla,csf,[41 34 10],[74 49 64],-0.04909598454833031,-0.04405850172042847,-0.00503748282790184
medulla,csf,[35 23 11],[47 90 60],0.10040203481912613,0.043530840426683426,0.0568711943924427
medulla,csf,[40 37  4],[60 70 12],0.03821646794676781,0.030540039762854576,0.007676428183913231
medulla,csf,[51 29  9],[37 53 26],-0.005648551043123007,0.0006589892436750233,-0.00630754028679803
medulla,csf,[37 24 13],[72 84 41],0.07100499421358109,0.0661003589630127,0.00490463525056839
medulla,csf,[51 25 11],[44 18 35],-0.0079746562987566,-0.015223388560116291,0.007248732261359692
medulla,csf,[55 39  8],[ 9 44 51],0.01020117662847042,0.012346657924354076,-0.0021454812958836555
medulla,csf,[39 38  6],[59 12 45],0.001589691499248147,-0.00820518285036087,0.009794874349609017
medulla,csf,[45 23 17],[67 37 67],-0.022379962727427483,-0.0031364550814032555,-0.019243507646024227
medulla,csf,[45 32 14],[43 33 72],-0.03255140781402588,-0.04688001051545143,0.014328602701425552
medulla,csf,[53 17 18],[45 75 69],0.049376096576452255,0.03345010057091713,0.015925996005535126
medulla,csf,[56 34 16],[24 84 55],-0.006368209142237902,0.027132265269756317,-0.03350047441199422
medulla,csf,[36 35  9],[23 93 44],0.048044316470623016,0.009727097116410732,0.038317219354212284
medulla,csf,[48 40  9],[49 16 19],0.045768655836582184,0.048250824213027954,-0.0024821683764457703
medulla,csf,[30 35  7],[25 42 10],0.17483992874622345,0.1663827896118164,0.008457139134407043
medulla,csf,[43 33  9],[50 44 28],0.026203088462352753,0.019205257296562195,0.006997831165790558
medulla,csf,[42 23 13],[51 98 49],0.1114480271935463,0.033492691814899445,0.07795533537864685
medulla,csf,[54 30 17],[ 48 100  36],-0.022527314722537994,-0.015101725235581398,-0.007425589486956596
medulla,csf,[43 30 13],[21 75 20],-0.04144500568509102,-0.033204320818185806,-0.008240684866905212
medulla,csf,[42 36  5],[41 62 47],-0.017614830285310745,-0.014946571551263332,-0.002668258734047413
medulla,csf,[48 31 13],[72 27 28],0.0693419948220253,0.03932446613907814,0.03001752868294716
medulla,csf,[34 26  8],[13 65 25],-0.08833549916744232,-0.09034381806850433,0.0020083189010620117
medulla,csf,[55 35 15],[43 19 57],0.002284898655489087,-0.018844930455088615,0.021129829110577703
medulla,csf,[48 33  7],[41 54 76],-0.035055551677942276,-0.06500402837991714,0.02994847670197487
medulla,csf,[45 24 18],[27 85 24],0.0,0.0,0.0
medulla,csf,[44 28 16],[ 52 100  42],0.036234959959983826,-0.005053755361586809,0.041288715321570635
medulla,csf,[51 43  6],[53 23  8],-0.010831069201231003,-0.015692029148340225,0.004860959947109222
medulla,csf,[41 27 10],[22 78 61],0.04593460634350777,-0.028229689225554466,0.07416429556906223
medulla,csf,[35 33  7],[45 24 14],0.19292089343070984,0.08903136849403381,0.10388952493667603
medulla,csf,[61 30  8],[73 77 48],0.02712791971862316,-0.0043357000686228275,0.03146361978724599
medulla,csf,[58 35  6],[26 15 28],0.07310570031404495,0.037749454379081726,0.035356245934963226
medulla,csf,[62 29  7],[57 90 26],-0.00020280778699088842,-0.011316359043121338,0.01111355125613045
medulla,csf,[45 23 18],[61 67 26],-0.030357901006937027,-0.04596204310655594,0.015604142099618912
medulla,csf,[54 31 17],[73 52 17],-0.010843203403055668,0.010826337151229382,-0.02166954055428505
medulla,csf,[28 25 10],[63 41  6],-0.0278128981590271,-0.001482087536714971,-0.02633081062231213
medulla,csf,[42 35  5],[34 45 42],0.004352191463112831,0.00783529132604599,-0.003483099862933159
medulla,csf,[51 35  9],[60 91 51],0.1027962863445282,0.03317902237176895,0.06961726397275925
medulla,csf,[40 24 15],[47 30 28],0.10880403965711594,0.08619964867830276,0.02260439097881317
medulla,csf,[35 32  8],[45 63 64],0.03879725560545921,0.1516844779253006,-0.11288722231984138
medulla,csf,[61 34  7],[73 49 63],0.023977067321538925,0.05081944540143013,-0.026842378079891205
medulla,csf,[35 31  7],[77 60 19],0.012266476638615131,-0.013662746176123619,0.02592922281473875
medulla,csf,[59 26  8],[57 62 10],0.03343767300248146,0.003061087103560567,0.030376585898920894
medulla,csf,[47 24 14],[65 41 22],-0.031369440257549286,0.000911019800696522,-0.03228046005824581
medulla,csf,[50 35  5],[31 37  4],-0.029595997184515,-0.001750518917106092,-0.027845478267408907
medulla,csf,[52 29  8],[44 55 15],0.006003701593726873,0.033074744045734406,-0.027071042452007532
medulla,csf,[31 33  5],[64 76 22],-0.004006171599030495,0.03293228894472122,-0.03693846054375172
medulla,csf,[49 41 17],[44 92 21],0.00011445904965512455,0.000901502906344831,-0.0007870438566897064
medulla,csf,[36 33  6],[38 11 44],-0.015181495808064938,-0.028251610696315765,0.013070114888250828
medulla,csf,[47 34  7],[64 54 58],-0.04113810509443283,-0.04503059387207031,0.0038924887776374817
medulla,csf,[36 33 10],[27 19 55],-0.03564077243208885,-0.029585516080260277,-0.006055256351828575
medulla,csf,[42 32 10],[38 52 78],0.0,0.0,0.0
medulla,csf,[50 24 10],[64 75 36],-0.050569798797369,-0.009508578106760979,-0.041061220690608025
medulla,csf,[55 22 11],[34 67 23],0.031717702746391296,0.02360435016453266,0.008113352581858635
medulla,csf,[36 36  5],[27 25  6],0.03295683115720749,0.02676624245941639,0.0061905886977910995
medulla,csf,[44 22 19],[44 18 55],-0.015180615708231926,-0.010844460688531399,-0.004336155019700527
medulla,csf,[52 42  7],[45 81 45],-0.016436973586678505,-0.026078028604388237,0.009641055017709732
medulla,csf,[48 39  3],[45 70 66],-0.026409875601530075,-0.006601981818675995,-0.01980789378285408
medulla,csf,[38 37 10],[52 25 67],0.008852697908878326,0.05003849416971207,-0.04118579626083374
medulla,csf,[40 24 15],[25 29  6],0.06159732863306999,0.020426297560334206,0.041171031072735786
medulla,csf,[33 26  8],[51 13 50],-0.06899470090866089,-0.060149211436510086,-0.008845489472150803
medulla,csf,[42 27 10],[28 93 26],0.0,0.0,0.0
medulla,csf,[26 29  7],[24 25  9],0.13951829075813293,0.1963556855916977,-0.05683739483356476
medulla,csf,[37 36  7],[63 19 15],0.05473930761218071,0.02763642929494381,0.0271028783172369
medulla,csf,[48 41  9],[45 47 63],-0.05259481817483902,-0.03944576159119606,-0.01314905658364296
medulla,csf,[47 43 15],[50 44 11],0.3154051899909973,0.24548853933811188,0.06991665065288544
medulla,csf,[24 33  7],[22 39 68],-0.031713612377643585,-0.02286468632519245,-0.008848926052451134
medulla,csf,[59 34  6],[27 17 48],0.009236801415681839,0.011638878844678402,-0.002402077428996563
medulla,csf,[55 34 14],[68 22 53],-0.021556811407208443,-0.029857445508241653,0.00830063410103321
medulla,csf,[36 29  8],[45 60 72],0.0033891601487994194,0.07190041244029999,-0.06851125229150057
medulla,csf,[59 31  7],[21 60 35],-0.03333820402622223,-0.0048947823233902454,-0.028443421702831984
medulla,csf,[46 44 15],[47 35  4],0.06116272136569023,0.0056876917369663715,0.05547502962872386
medulla,csf,[35 35  8],[53 24 67],-0.04883900284767151,-0.04711111634969711,-0.0017278864979743958
medulla,csf,[32 25  8],[52 57 50],-0.05272594839334488,0.011434611864387989,-0.06416056025773287
medulla,csf,[37 31 10],[81 39 37],-0.01913408562541008,-0.012605603784322739,-0.006528481841087341
medulla,csf,[36 34 17],[58 46 12],0.0905265063047409,0.06570674479007721,0.024819761514663696
medulla,csf,[46 41  9],[20 74 20],-0.028137609362602234,-0.004615971352905035,-0.0235216380096972
medulla,csf,[53 37  8],[73 83 46],0.01959804631769657,-0.007180013228207827,0.026778059545904398
medulla,csf,[38 17 19],[60 84 25],0.0,0.0,0.0
medulla,csf,[37 21 12],[31 43 63],-0.04639095440506935,0.005031169392168522,-0.05142212379723787
medulla,csf,[49 24 11],[51 53 15],-0.026384498924016953,0.017629584297537804,-0.044014083221554756
medulla,csf,[45 41  8],[44 72 23],-0.0033804266713559628,-0.009598426520824432,0.00621799984946847
medulla,csf,[29 33  8],[38 27 71],-0.03893999010324478,-0.03833447024226189,-0.0006055198609828949
