roi1,roi2,voxel_idx_1,voxel_idx_2,gsp1000_mf_AvgR,yeo1000_dil_AvgR,diff
medulla,right_anterior_lateral_ventricle,[59 34  7],[30 40 41],-0.013616631738841534,-0.006892292760312557,-0.0067243389785289764
medulla,right_anterior_lateral_ventricle,[50 38  9],[35 49 48],-0.054373711347579956,0.0007319704163819551,-0.05510568176396191
medulla,right_anterior_lateral_ventricle,[49 33  9],[31 43 42],-0.017844308167696,-0.0006384508451446891,-0.01720585732255131
medulla,right_anterior_lateral_ventricle,[54 31 16],[41 50 45],0.007311976049095392,0.008723829872906208,-0.0014118538238108158
medulla,right_anterior_lateral_ventricle,[46 32  9],[34 46 46],-0.04402723163366318,0.021934648975729942,-0.06596188060939312
medulla,right_anterior_lateral_ventricle,[63 28  9],[36 49 46],-0.009959466755390167,0.00875523779541254,-0.018714704550802708
medulla,right_anterior_lateral_ventricle,[55 24 12],[31 40 41],-0.0014456573408097029,0.0025820957962423563,-0.004027753137052059
medulla,right_anterior_lateral_ventricle,[53 17 18],[33 45 41],-0.015341182239353657,-0.02603284642100334,0.010691664181649685
medulla,right_anterior_lateral_ventricle,[45 25 15],[36 47 48],-0.06610224395990372,-0.01131710410118103,-0.05478513985872269
medulla,right_anterior_lateral_ventricle,[44 25 17],[33 44 44],-0.02139677107334137,-0.0018735677003860474,-0.019523203372955322
medulla,right_anterior_lateral_ventricle,[53 34  8],[32 39 40],0.02392381802201271,0.030404571443796158,-0.006480753421783447
medulla,right_anterior_lateral_ventricle,[53 39  6],[34 43 40],0.039065275341272354,0.036096081137657166,0.0029691942036151886
medulla,right_anterior_lateral_ventricle,[56 41  7],[33 43 42],0.015454658307135105,0.01916688121855259,-0.0037122229114174843
medulla,right_anterior_lateral_ventricle,[31 32  5],[31 43 40],-0.029732950031757355,-0.005021123681217432,-0.024711826350539923
medulla,right_anterior_lateral_ventricle,[52 30  8],[29 41 38],0.0019889473915100098,-5.940401024417952e-05,0.0020483514017541893
medulla,right_anterior_lateral_ventricle,[39 40  7],[32 41 38],0.02850630134344101,0.01827770099043846,0.010228600353002548
medulla,right_anterior_lateral_ventricle,[42 28 13],[34 46 47],-0.04338736832141876,-0.027739960700273514,-0.01564740762114525
medulla,right_anterior_lateral_ventricle,[43 28 13],[35 48 45],0.015528061427175999,0.0154937244951725,3.433693200349808e-05
medulla,right_anterior_lateral_ventricle,[49 45  9],[34 47 45],0.04333076626062393,0.040841586887836456,0.0024891793727874756
medulla,right_anterior_lateral_ventricle,[55 38  7],[31 44 41],-0.03218929469585419,-0.027338260784745216,-0.004851033911108971
medulla,right_anterior_lateral_ventricle,[40 24 12],[29 37 38],0.07760787755250931,0.05252081900835037,0.025087058544158936
medulla,right_anterior_lateral_ventricle,[39 33 19],[34 41 41],0.009781169705092907,0.01782572641968727,-0.008044556714594364
medulla,right_anterior_lateral_ventricle,[42 42 15],[33 44 46],-0.032794512808322906,0.07861468195915222,-0.11140919476747513
medulla,right_anterior_lateral_ventricle,[46 26 14],[29 38 37],0.06310675293207169,0.03318246454000473,0.029924288392066956
medulla,right_anterior_lateral_ventricle,[53 29  7],[34 45 47],-0.07746180146932602,-0.030045341700315475,-0.047416459769010544
medulla,right_anterior_lateral_ventricle,[64 22 16],[37 55 50],-0.05104149132966995,-0.006471640430390835,-0.04456985089927912
medulla,right_anterior_lateral_ventricle,[62 24 10],[35 45 43],0.039471790194511414,0.02195696160197258,0.017514828592538834
medulla,right_anterior_lateral_ventricle,[28 27  9],[29 44 36],-0.013762448914349079,-0.010661899112164974,-0.003100549802184105
