roi1,roi2,voxel_idx_1,voxel_idx_2,gsp1000_mf_AvgR,yeo1000_dil_AvgR,diff
medulla,lateral_ventricle,[52 17 18],[46 67 40],-0.003595739370211959,-0.011548906564712524,0.007953167194500566
medulla,lateral_ventricle,[33 31  9],[43 71 37],-0.01972690038383007,-0.05093985050916672,0.031212950125336647
medulla,lateral_ventricle,[54 25  8],[41 65 43],-0.013351606205105782,-0.004290333017706871,-0.00906127318739891
medulla,lateral_ventricle,[51 41  6],[59 37 38],0.0442645400762558,0.0372823029756546,0.006982237100601196
medulla,lateral_ventricle,[56 33  8],[52 53 49],-0.04632631689310074,-0.027885902673006058,-0.01844041422009468
medulla,lateral_ventricle,[32 34  5],[52 68 46],0.017971428111195564,-0.007443834096193314,0.025415262207388878
medulla,lateral_ventricle,[53 28  7],[42 67 38],-0.016742030158638954,-0.026916947215795517,0.010174917057156563
medulla,lateral_ventricle,[66 31  9],[43 70 40],0.022069787606596947,-0.0038898461498320103,0.025959633756428957
medulla,lateral_ventricle,[51 37  7],[44 67 39],-0.03458220884203911,-0.04237668216228485,0.007794473320245743
medulla,lateral_ventricle,[39 35  8],[48 60 44],0.027029382064938545,0.010175484232604504,0.01685389783233404
medulla,lateral_ventricle,[42 25 12],[58 41 37],0.04135505482554436,0.024231819435954094,0.017123235389590263
medulla,lateral_ventricle,[43 43 11],[48 65 37],-0.05397722125053406,0.00013296179531607777,-0.054110183045850135
medulla,lateral_ventricle,[34 21 12],[41 70 43],0.021772686392068863,-0.007757882121950388,0.02953056851401925
medulla,lateral_ventricle,[57 29 15],[41 74 37],-0.00044331199023872614,-0.014212463051080704,0.013769151060841978
medulla,lateral_ventricle,[41 22 15],[39 59 47],0.004500571172684431,0.012578727677464485,-0.008078156504780054
medulla,lateral_ventricle,[44 27 13],[43 61 44],-0.01314710732549429,-0.01711488701403141,0.003967779688537121
medulla,lateral_ventricle,[47 40  4],[37 47 44],-0.020696446299552917,0.013393918983638287,-0.034090365283191204
medulla,lateral_ventricle,[32 31 15],[35 48 45],0.026064591482281685,0.00599502120167017,0.020069570280611515
medulla,lateral_ventricle,[35 29  8],[50 74 39],0.033180538564920425,-0.0012001626892015338,0.03438070125412196
medulla,lateral_ventricle,[43 32  6],[48 51 45],0.030164480209350586,-0.002516435692086816,0.0326809159014374
medulla,lateral_ventricle,[48 40 10],[42 60 47],0.02989964745938778,0.0010254178196191788,0.0288742296397686
medulla,lateral_ventricle,[36 25  8],[48 66 43],-0.002030907431617379,-0.010210582986474037,0.008179675554856658
medulla,lateral_ventricle,[51 44 11],[37 49 46],0.039725176990032196,0.011371409520506859,0.028353767469525337
